dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2018-07-24 07:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.007704907435710262,0.0,-0.006578876252703367,-0.0009412913759354037,-0.00371675483318326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 08:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010513631823749914,0.0,-0.006578876252703367,-0.0009412913759354037,-0.008093947672132232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 09:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0034667898009433607,0.0,-0.006578876252703367,-0.0009412913759354037,-0.005842944869282482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 10:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.017898366771009516,0.0,-0.006578876252703367,-0.0009412913759354037,-0.01652354749259649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 11:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043617461723466245,0.0,-0.006578876252703367,-0.0009412913759354037,-0.009756082903006435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 12:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.005058650079753129,0.0,-0.006578876252703367,-0.0009412913759354037,-0.005047365695784999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 13:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01222450647401543,0.0,-0.006578876252703367,-0.0009412913759354037,-0.0014842404399940255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 14:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.009092808384922262,0.0,-0.006578876252703367,-0.0009412913759354037,-0.003049002167967993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 15:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.00580475801062426,0.0,-0.006578876252703367,-0.0009412913759354037,-0.004691826538998179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 16:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0009728202088944773,0.0,-0.006578876252703367,-0.0009412913759354037,-0.007106015207007188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 18:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.006182720020541601,0.0,-0.006578876252703367,-0.0009412913759354037,-0.004501219740062791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 19:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006041497605971608,0.0,-0.006578876252703367,-0.0009412913759354037,-0.00789457545649834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 20:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0056235483884702064,0.0,-0.006578876252703367,-0.0009412913759354037,-0.0047808537033627516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
